Date : 2026-07-29 12:45:45
Directory : c:\Users\HP\Documents\Courses\react.js\trendy-blog\src
Total : 149 files,  10932 codes, 476 comments, 1457 blanks, all 12865 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        133 |      8,098 |        386 |        984 |      9,468 |
| PostCSS    |         15 |      2,833 |         90 |        473 |      3,396 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\X.js                                         | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\close-sidebar.js                             | JavaScript |         21 |          0 |          2 |         23 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\delete-icon.js                               | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\feedback.js                                  | JavaScript |         17 |          0 |          2 |         19 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\filled-global-bookmark.js                    | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\filter.js                                    | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\global-bookmark.js                           | JavaScript |         14 |          0 |          1 |         15 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\logout.js                                    | JavaScript |         18 |          0 |          2 |         20 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\more.js                                      | JavaScript |         15 |          0 |          2 |         17 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\no-eye.js                                    | JavaScript |         14 |          0 |          1 |         15 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\open-sidebar.js                              | JavaScript |         21 |          0 |          2 |         23 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\person.js                                    | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\read-line.js                                 | JavaScript |         18 |          0 |          2 |         20 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\read.js                                      | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\stats-icons\Comment.js                       | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\stats-icons\Eye.js                           | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\stats-icons\book.js                          | JavaScript |         18 |          0 |          2 |         20 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\stats-icons\like.js                          | JavaScript |         18 |          0 |          2 |         20 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\sun.js                                       | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\index.css                                          | PostCSS    |         42 |          0 |          7 |         49 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\index.js                                           | JavaScript |         17 |          0 |          2 |         19 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\lib\supabase.js                                    | JavaScript |          6 |          0 |          3 |          9 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\logo.svg                                           | XML        |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\Auth\AuthPage.css                            | PostCSS    |        111 |          0 |         21 |        132 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\Auth\AuthPage.js                             | JavaScript |         59 |          0 |          7 |         66 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\NewPost\NewPostPage.css                  | PostCSS    |        162 |          0 |         27 |        189 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\NewPost\NewPostPage.js                   | JavaScript |        321 |         56 |         37 |        414 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\PostPage\PostPage.css                    | PostCSS    |        298 |         14 |         48 |        360 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\PostPage\PostPage.js                     | JavaScript |        377 |         18 |         53 |        448 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\ProfilePage\ProfilePage.css              | PostCSS    |        181 |          0 |         29 |        210 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\ProfilePage\ProfilePage.js               | JavaScript |        292 |          5 |         41 |        338 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\Settings\SettingsPage.css                | PostCSS    |         94 |          0 |         12 |        106 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\Settings\SettingsPage.js                 | JavaScript |         72 |          0 |          7 |         79 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\bookmarksPage\bookmarks-page.js          | JavaScript |        243 |          0 |         14 |        257 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\category-page\category-page.js           | JavaScript |         18 |          0 |          4 |         22 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\draftsPage\drafts-page.js                | JavaScript |         68 |          0 |          9 |         77 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\feed\Feed.js                             | JavaScript |         87 |          1 |         13 |        101 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\notifications-page\notifications-page.js | JavaScript |        124 |          0 |         14 |        138 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\statsPage\stats-page.js                  | JavaScript |        136 |         15 |         23 |        174 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\app\trending-page\trending-page.js           | JavaScript |         18 |          0 |          4 |         22 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\landing page\LandingPage.css                 | PostCSS    |        872 |          3 |        141 |      1,016 |
